indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,M_Y16_74,PC_IND,UK	67 	69 	74 	81 	81 	84 	83 	89 
I_IUMD,M_Y16_74,PC_IND,XK	: 	: 	: 	: 	: 	76 	76 	80 
I_IUMD,RETIR_OTHER,PC_IND,AL	: 	: 	: 	: 	: 	: 	25 	: 
I_IUMD,RETIR_OTHER,PC_IND,AT	16 	19 	23 	27 	32 	43 	46 	54 
I_IUMD,RETIR_OTHER,PC_IND,BA	: 	: 	: 	: 	: 	: 	31 	34 
I_IUMD,RETIR_OTHER,PC_IND,BE	20 	23 	32 	42 	44 	50 	50 	67 
I_IUMD,RETIR_OTHER,PC_IND,BG	1 	3 	4 	9 	11 	19 	21 	26 
I_IUMD,RETIR_OTHER,PC_IND,CH	: 	: 	25 	: 	: 	43 b	: 	75 
I_IUMD,RETIR_OTHER,PC_IND,CY	7 	10 	15 	29 	29 	35 	40 	49 
I_IUMD,RETIR_OTHER,PC_IND,CZ	: u	7 	11 	15 	: u	24 	29 	38 
I_IUMD,RETIR_OTHER,PC_IND,DE	10 	17 	25 	31 	36 	46 	54 	46 
I_IUMD,RETIR_OTHER,PC_IND,DK	36 	37 	47 	55 	59 	61 	75 	78 
I_IUMD,RETIR_OTHER,PC_IND,EA	11 	16 	22 	26 	30 	37 	43 	49 
I_IUMD,RETIR_OTHER,PC_IND,EE	13 	21 	27 b	27 	27 	31 	35 	43 
I_IUMD,RETIR_OTHER,PC_IND,EL	3 	6 	11 	15 	16 	21 	23 	31 
I_IUMD,RETIR_OTHER,PC_IND,ES	9 	15 	24 	28 	36 	45 	51 	65 
I_IUMD,RETIR_OTHER,PC_IND,EU27_2007	13 	17 	23 	28 	30 	37 	43 	: 
I_IUMD,RETIR_OTHER,PC_IND,EU27_2020	10 	14 	20 	24 	27 	33 	39 	46 
I_IUMD,RETIR_OTHER,PC_IND,EU28	13 	16 	22 	28 	30 	36 	42 	48 
I_IUMD,RETIR_OTHER,PC_IND,FI	26 	32 	39 	43 	46 	49 	51 	: 
I_IUMD,RETIR_OTHER,PC_IND,FR	18 	25 	30 	32 	33 b	39 	49 	59 
I_IUMD,RETIR_OTHER,PC_IND,HR	7 	9 	10 	13 	14 	16 	26 	37 
I_IUMD,RETIR_OTHER,PC_IND,HU	4 	9 	17 	21 	27 	30 	: u	43 
I_IUMD,RETIR_OTHER,PC_IND,IE	27 	34 	40 	44 	44 	49 	43 	64 
I_IUMD,RETIR_OTHER,PC_IND,IS	: 	37 	39 	: 	: 	61 	58 	79 
I_IUMD,RETIR_OTHER,PC_IND,IT	3 	3 	5 	7 	9 	12 	19 	26 
I_IUMD,RETIR_OTHER,PC_IND,LT	2 	3 	6 	8 	13 	18 	26 	34 
I_IUMD,RETIR_OTHER,PC_IND,LU	36 	46 	45 	58 	59 	61 	65 b	69 
I_IUMD,RETIR_OTHER,PC_IND,LV	5 	8 	8 	12 	13 b	20 	19 	25 
I_IUMD,RETIR_OTHER,PC_IND,ME	9 	: 	: 	: 	: 	29 	22 	34 
I_IUMD,RETIR_OTHER,PC_IND,MK	2 	3 	9 	19 	25 	31 	29 	46 
I_IUMD,RETIR_OTHER,PC_IND,MT	13 	14 	22 	33 	33 	40 	37 	45 
I_IUMD,RETIR_OTHER,PC_IND,NL	26 	33 	43 	49 	55 	66 	66 	74 
I_IUMD,RETIR_OTHER,PC_IND,NO	44 	55 	43 	57 	49 	63 	69 	79 
I_IUMD,RETIR_OTHER,PC_IND,PL	4 	9 	11 	16 	9 	13 	19 	27 
I_IUMD,RETIR_OTHER,PC_IND,PT	3 	4 	7 	12 	15 	17 	20 	23 
I_IUMD,RETIR_OTHER,PC_IND,RO	1 	3 	7 b	12 	15 	23 	28 	42 
I_IUMD,RETIR_OTHER,PC_IND,RS	: 	: 	: 	6 	: 	21 	27 	35 
I_IUMD,RETIR_OTHER,PC_IND,SE	33 	33 	43 	44 	58 b	60 	: u	74 
I_IUMD,RETIR_OTHER,PC_IND,SI	3 	7 	12 	11 	23 	23 	25 	43 
I_IUMD,RETIR_OTHER,PC_IND,SK	8 	10 	14 	16 	25 	31 	24 	35 
I_IUMD,RETIR_OTHER,PC_IND,TR	4 	7 	13 	17 	29 	39 	44 	52 
I_IUMD,RETIR_OTHER,PC_IND,UK	35 	36 	46 	55 	55 	59 	64 	66 
I_IUMD,RETIR_OTHER,PC_IND,XK	: 	: 	: 	: 	: 	58 	48 	60 
I_IUMD,SAL_SELF_FAM,PC_IND,AL	: 	: 	: 	: 	: 	: 	62 	: 
I_IUMD,SAL_SELF_FAM,PC_IND,AT	53 	60 	67 	74 	74 	84 	83 	91 
I_IUMD,SAL_SELF_FAM,PC_IND,BA	: 	: 	: 	: 	: 	: 	82 	75 
I_IUMD,SAL_SELF_FAM,PC_IND,BE	51 	54 	69 	79 	82 	85 	87 	93 
I_IUMD,SAL_SELF_FAM,PC_IND,BG	18 	27 	36 	50 	59 	74 	74 	83 
I_IUMD,SAL_SELF_FAM,PC_IND,CH	: 	: 	67 	: 	: 	76 b	: 	93 
I_IUMD,SAL_SELF_FAM,PC_IND,CY	26 	31 	48 	66 	72 	78 	84 	87 
I_IUMD,SAL_SELF_FAM,PC_IND,CZ	: u	33 	43 	52 	: u	70 	77 	84 
I_IUMD,SAL_SELF_FAM,PC_IND,DE	38 	52 	66 	73 	78 	85 	88 	87 
I_IUMD,SAL_SELF_FAM,PC_IND,DK	67 	73 	83 	86 	88 	90 	94 	96 
I_IUMD,SAL_SELF_FAM,PC_IND,EA	41 	50 	61 	66 	69 	76 	79 	84 
I_IUMD,SAL_SELF_FAM,PC_IND,EE	43 	52 	65 b	69 	71 	77 	80 	87 
I_IUMD,SAL_SELF_FAM,PC_IND,EL	29 	35 	50 	57 	59 	66 	68 	77 
I_IUMD,SAL_SELF_FAM,PC_IND,ES	47 	63 	76 	80 	85 	90 	91 	95 
I_IUMD,SAL_SELF_FAM,PC_IND,EU27_2007	43 	51 	61 	67 	69 	75 	79 	: 
I_IUMD,SAL_SELF_FAM,PC_IND,EU27_2020	39 	47 	57 	64 	65 	73 	77 	83 
I_IUMD,SAL_SELF_FAM,PC_IND,EU28	43 	51 	60 	67 	69 	75 	79 	85 
I_IUMD,SAL_SELF_FAM,PC_IND,FI	64 	69 	77 	82 	85 	88 	88 	: 
I_IUMD,SAL_SELF_FAM,PC_IND,FR	50 	59 	68 	71 	70 b	80 	83 	89 
I_IUMD,SAL_SELF_FAM,PC_IND,HR	46 	51 	53 	66 	68 	73 	81 	89 
I_IUMD,SAL_SELF_FAM,PC_IND,HU	23 	37 	55 	65 	71 	77 	: u	87 
I_IUMD,SAL_SELF_FAM,PC_IND,IE	61 	68 	74 	79 	78 	84 	87 	91 
I_IUMD,SAL_SELF_FAM,PC_IND,IS	61 	61 	71 	: 	: 	87 	88 	90 
I_IUMD,SAL_SELF_FAM,PC_IND,IT	21 	20 	25 	25 	30 	33 	43 	56 
I_IUMD,SAL_SELF_FAM,PC_IND,LT	19 	29 	36 	44 	54 	67 	74 	81 
I_IUMD,SAL_SELF_FAM,PC_IND,LU	69 	71 	75 	81 	82 	86 	91 b	94 
I_IUMD,SAL_SELF_FAM,PC_IND,LV	31 	38 	42 	52 	58 b	68 	70 	79 
I_IUMD,SAL_SELF_FAM,PC_IND,ME	43 	: 	: 	: 	: 	87 	89 	93 
I_IUMD,SAL_SELF_FAM,PC_IND,MK	22 	32 	51 	64 	68 	78 	73 	86 
I_IUMD,SAL_SELF_FAM,PC_IND,MT	54 	56 	66 	78 	79 	86 	85 	87 
I_IUMD,SAL_SELF_FAM,PC_IND,NL	65 	76 	80 	85 	87 	93 	93 	94 
I_IUMD,SAL_SELF_FAM,PC_IND,NO	80 	82 	85 	90 	87 	92 	93 	96 
I_IUMD,SAL_SELF_FAM,PC_IND,PL	28 	38 	44 	53 	35 	46 	57 	69 
I_IUMD,SAL_SELF_FAM,PC_IND,PT	24 	26 	44 	56 	60 	69 	72 	75 
I_IUMD,SAL_SELF_FAM,PC_IND,RO	9 	18 	29 b	44 	53 	62 	68 	81 
I_IUMD,SAL_SELF_FAM,PC_IND,RS	: 	: 	: 	58 	: 	73 	76 	82 
I_IUMD,SAL_SELF_FAM,PC_IND,SE	75 	80 	83 	85 	86 b	94 	92 	98 
I_IUMD,SAL_SELF_FAM,PC_IND,SI	35 	49 	52 	66 	66 	78 	81 	89 
I_IUMD,SAL_SELF_FAM,PC_IND,SK	45 	48 	59 	67 	69 	75 	73 	82 
I_IUMD,SAL_SELF_FAM,PC_IND,TR	19 	29 	44 	56 	68 	76 	77 	85 
I_IUMD,SAL_SELF_FAM,PC_IND,UK	71 	75 	81 	88 	90 	92 	91 	96 
I_IUMD,SAL_SELF_FAM,PC_IND,XK	: 	: 	: 	: 	: 	81 	80 	87 
I_IUMD,STUD,PC_IND,AL	: 	: 	: 	: 	: 	: 	87 	: 
I_IUMD,STUD,PC_IND,AT	84 	89 	94 	99 	97 	97 	97 	99 
I_IUMD,STUD,PC_IND,BA	: 	: 	: 	: 	: 	: 	92 	95 
I_IUMD,STUD,PC_IND,BE	73 	81 	80 	91 	94 	92 	93 	95 
I_IUMD,STUD,PC_IND,BG	30 	56 	72 	84 	91 	95 	95 	97 
I_IUMD,STUD,PC_IND,CH	: 	: 	85 	: 	: 	86 b	: 	98 
I_IUMD,STUD,PC_IND,CY	61 	71 	86 	96 	96 	99 	97 	99 
I_IUMD,STUD,PC_IND,CZ	: u	68 	79 	87 	: u	94 	97 	99 
I_IUMD,STUD,PC_IND,DE	56 	80 	87 	91 	94 	95 	98 	94 
I_IUMD,STUD,PC_IND,DK	87 	89 	92 	92 	95 	97 	97 	98 
I_IUMD,STUD,PC_IND,EA	65 	79 	84 	89 	90 	92 	93 	94 
I_IUMD,STUD,PC_IND,EE	68 	77 	92 b	93 	96 	97 	98 	99 
I_IUMD,STUD,PC_IND,EL	58 	67 	78 	85 	88 	92 	91 	95 
I_IUMD,STUD,PC_IND,ES	76 	86 	93 	93 	95 	97 	97 	99 
I_IUMD,STUD,PC_IND,EU27_2007	65 	77 	84 	90 	90 	92 	93 	: 
I_IUMD,STUD,PC_IND,EU27_2020	62 	75 	82 	89 	89 	92 	93 	95 
I_IUMD,STUD,PC_IND,EU28	65 	78 	84 	90 	90 	92 	93 	95 
I_IUMD,STUD,PC_IND,FI	80 	82 	93 	93 	96 	97 	95 	: 
I_IUMD,STUD,PC_IND,FR	78 	83 	83 	91 	89 b	91 	91 	95 
I_IUMD,STUD,PC_IND,HR	87 	82 	83 	96 	89 	96 	98 	98 
I_IUMD,STUD,PC_IND,HU	38 	64 	81 	89 	92 	94 	: u	97 
I_IUMD,STUD,PC_IND,IE	78 	89 	94 	95 	91 	95 	99 	98 
I_IUMD,STUD,PC_IND,IS	87 	84 	93 	: 	: 	97 	88 	94 u
I_IUMD,STUD,PC_IND,IT	40 	64 	72 	78 	81 	83 	82 	87 
I_IUMD,STUD,PC_IND,LT	52 	67 	82 	86 	87 	96 	96 	96 
I_IUMD,STUD,PC_IND,LU	83 	82 	86 	87 	91 	94 	97 b	92 
I_IUMD,STUD,PC_IND,LV	56 	78 	82 	92 	91 b	94 	97 	98 
I_IUMD,STUD,PC_IND,ME	66 	: 	: 	: 	: 	100 	97 	100 
I_IUMD,STUD,PC_IND,MK	42 	59 	84 	86 	94 	92 	87 	99 
I_IUMD,STUD,PC_IND,MT	88 	92 	94 	100 	96 	97 	97 	96 
I_IUMD,STUD,PC_IND,NL	87 	91 	83 	94 	88 	100 	95 	97 
I_IUMD,STUD,PC_IND,NO	89 	96 	92 	91 	87 	99 	97 	98 
I_IUMD,STUD,PC_IND,PL	53 	63 	77 	88 	83 	87 	92 	95 
I_IUMD,STUD,PC_IND,PT	69 	78 	84 	91 	94 	96 	96 	94 
I_IUMD,STUD,PC_IND,RO	18 	43 	62 b	80 	82 	90 	88 	96 
I_IUMD,STUD,PC_IND,RS	: 	: 	: 	92 	: 	89 	94 	100 
I_IUMD,STUD,PC_IND,SE	89 	87 	90 	94 	85 b	91 	94 	100 
I_IUMD,STUD,PC_IND,SI	78 	85 	91 	96 	95 	97 	97 	98 
I_IUMD,STUD,PC_IND,SK	73 	82 	86 	93 	95 	94 	98 	96 
I_IUMD,STUD,PC_IND,TR	39 	51 	69 	74 	86 	91 	88 	93 
I_IUMD,STUD,PC_IND,UK	93 	95 	95 	98 	93 	94 	88 u	100 
I_IUMD,STUD,PC_IND,XK	: 	: 	: 	: 	: 	88 	94 	94 
I_IUMD,UNE,PC_IND,AL	: 	: 	: 	: 	: 	: 	54 	: 
I_IUMD,UNE,PC_IND,AT	46 	58 	53 	67 	69 	67 	68 	77 
I_IUMD,UNE,PC_IND,BA	: 	: 	: 	: 	: 	: 	61 	55 
I_IUMD,UNE,PC_IND,BE	33 	40 	50 	60 	59 	69 	76 	86 
I_IUMD,UNE,PC_IND,BG	5 	11 	16 	22 	28 	40 	37 	43 
I_IUMD,UNE,PC_IND,CH	: 	: 	73 u	: 	: 	67 b	: 	93 
I_IUMD,UNE,PC_IND,CY	27 	31 	43 	59 	58 	77 	75 	88 
I_IUMD,UNE,PC_IND,CZ	: u	16 	34 	33 	: u	49 	59 	59 
I_IUMD,UNE,PC_IND,DE	18 	33 	37 	51 	52 	59 	66 	59 
I_IUMD,UNE,PC_IND,DK	54 	62 	76 	73 u	92 	84 u	89 	95 u
I_IUMD,UNE,PC_IND,EA	28 	37 	47 	52 	54 	59 	65 	69 
I_IUMD,UNE,PC_IND,EE	34 	44 	55 b	55 	60 	67 	72 	76 
I_IUMD,UNE,PC_IND,EL	24 	23 	36 	48 	55 	56 	63 	68 
I_IUMD,UNE,PC_IND,ES	33 	47 	60 	65 	69 	77 	81 	85 
I_IUMD,UNE,PC_IND,EU27_2007	28 	37 	46 	52 	53 	59 	64 	: 
I_IUMD,UNE,PC_IND,EU27_2020	25 	34 	44 	50 	52 	57 	62 	68 
I_IUMD,UNE,PC_IND,EU28	28 	37 	46 	52 	53 	59 	64 	69 
I_IUMD,UNE,PC_IND,FI	50 	54 	66 	69 	75 	83 	75 	: 
I_IUMD,UNE,PC_IND,FR	45 	52 	60 	63 	60 b	68 	76 	84 
I_IUMD,UNE,PC_IND,HR	36 	32 	34 	44 	53 	50 	52 	66 
I_IUMD,UNE,PC_IND,HU	10 	20 	32 	44 	47 	46 	: u	62 
I_IUMD,UNE,PC_IND,IE	45 	52 	58 	65 	62 	72 	79 	77 
I_IUMD,UNE,PC_IND,IS	60 	58 	54 u	: 	: 	: u	: u	: u
I_IUMD,UNE,PC_IND,IT	14 	22 	30 	35 	38 	36 	43 	51 
I_IUMD,UNE,PC_IND,LT	10 	17 	21 	25 	32 	37 	45 	64 
I_IUMD,UNE,PC_IND,LU	60 u	64 u	73 	63 u	76 u	91 u	92 bu	84 u
I_IUMD,UNE,PC_IND,LV	16 	22 	27 	34 	43 b	49 	52 	56 
I_IUMD,UNE,PC_IND,ME	26 	: 	: 	: 	: 	69 	75 	69 
I_IUMD,UNE,PC_IND,MK	12 	22 	31 	49 	48 	63 	60 	72 
I_IUMD,UNE,PC_IND,MT	33 u	37 	38 	53 u	60 u	: u	: u	: u
I_IUMD,UNE,PC_IND,NL	64 	69 	69 	75 	80 	90 	86 	90 
I_IUMD,UNE,PC_IND,NO	72 u	78 u	76 u	77 u	75 u	72 u	82 u	: u
I_IUMD,UNE,PC_IND,PL	13 	24 	28 	35 	27 	29 	38 	55 
I_IUMD,UNE,PC_IND,PT	18 	20 	33 	37 	46 	51 	53 	61 
I_IUMD,UNE,PC_IND,RO	4 	10 	27 b	44 	53 	67 	62 	73 
I_IUMD,UNE,PC_IND,RS	: 	: 	: 	29 	: 	48 	62 	64 
I_IUMD,UNE,PC_IND,SE	69 u	58 	67 u	87 u	70 bu	92 u	89 u	89 u
I_IUMD,UNE,PC_IND,SI	30 	33 	44 	52 	46 	55 	71 	62 
I_IUMD,UNE,PC_IND,SK	24 	33 	43 	51 	36 	53 	47 	61 
I_IUMD,UNE,PC_IND,TR	15 	27 	39 	49 	67 	73 	79 	84 
I_IUMD,UNE,PC_IND,UK	58 	62 	71 	79 	76 	83 	81 	78 
I_IUMD,UNE,PC_IND,XK	: 	: 	: 	: 	: 	76 	76 	75 
I_IUMD,Y16_24,PC_IND,AL	: 	: 	: 	: 	: 	: 	82 	: 
I_IUMD,Y16_24,PC_IND,AT	82 	88 	91 	97 	96 	99 	97 	99 
I_IUMD,Y16_24,PC_IND,BA	: 	: 	: 	: 	: 	: 	92 	87 
I_IUMD,Y16_24,PC_IND,BE	70 	79 	81 	90 	92 	92 	93 	96 
I_IUMD,Y16_24,PC_IND,BG	23 	40 	58 	71 	81 	85 	88 	91 
I_IUMD,Y16_24,PC_IND,CH	: 	: 	88 	: 	: 	83 b	: 	98 
I_IUMD,Y16_24,PC_IND,CY	52 	64 	83 	94 	95 	96 	96 	98 
I_IUMD,Y16_24,PC_IND,CZ	: u	61 	75 	84 	: u	92 	96 	97 
I_IUMD,Y16_24,PC_IND,DE	58 	80 	89 	91 	93 	95 	97 	95 
I_IUMD,Y16_24,PC_IND,DK	87 	88 	93 	93 	94 	96 	97 	98 
I_IUMD,Y16_24,PC_IND,EA	64 	76 	82 	87 	87 	90 	92 	93 
I_IUMD,Y16_24,PC_IND,EE	66 	72 	91 b	93 	95 	97 	97 	98 
I_IUMD,Y16_24,PC_IND,EL	51 	63 	71 	84 	87 	89 	92 	94 
I_IUMD,Y16_24,PC_IND,ES	75 	85 	91 	93 	95 	95 	96 	98 
I_IUMD,Y16_24,PC_IND,EU27_2007	63 	74 	81 	87 	87 	90 	92 	: 
I_IUMD,Y16_24,PC_IND,EU27_2020	59 	71 	79 	86 	86 	89 	91 	94 
I_IUMD,Y16_24,PC_IND,EU28	63 	74 	81 	87 	87 	90 	92 	95 
I_IUMD,Y16_24,PC_IND,FI	80 	81 	93 	95 	96 	96 	96 	: 
I_IUMD,Y16_24,PC_IND,FR	78 	82 	84 	90 	86 b	90 	92 	95 
I_IUMD,Y16_24,PC_IND,HR	85 	82 	80 	95 	86 	91 	99 	98 
I_IUMD,Y16_24,PC_IND,HU	33 	54 	76 	85 	90 	91 	: u	94 
I_IUMD,Y16_24,PC_IND,IE	70 	84 	92 	91 	91 	95 	95 	98 
I_IUMD,Y16_24,PC_IND,IS	86 	82 	91 	: 	: 	95 	93 	97 
I_IUMD,Y16_24,PC_IND,IT	33 	54 	61 	68 	71 	72 	74 	80 
I_IUMD,Y16_24,PC_IND,LT	48 	64 	75 	79 	86 	91 	94 	94 
I_IUMD,Y16_24,PC_IND,LU	83 	82 	87 	89 	90 	92 	95 b	93 
I_IUMD,Y16_24,PC_IND,LV	54 	71 	75 	87 	87 b	94 	94 	97 
I_IUMD,Y16_24,PC_IND,ME	56 	: 	: 	: 	: 	96 	97 	99 
I_IUMD,Y16_24,PC_IND,MK	35 	52 	79 	86 	92 	91 	: u	97 
I_IUMD,Y16_24,PC_IND,MT	84 	82 	91 	96 	93 	98 	98 	98 
I_IUMD,Y16_24,PC_IND,NL	92 	94 	91 	91 	89 	98 	96 	98 
I_IUMD,Y16_24,PC_IND,NO	91 	94 	95 	95 	91 	98 	96 	98 
I_IUMD,Y16_24,PC_IND,PL	46 	60 	71 	84 	75 	82 	88 	93 
I_IUMD,Y16_24,PC_IND,PT	58 	66 	81 	86 	92 	95 	95 	94 
I_IUMD,Y16_24,PC_IND,RO	14 	31 	53 b	70 	74 	82 	83 	93 
I_IUMD,Y16_24,PC_IND,RS	: 	: 	: 	69 	: 	86 	88 	91 
I_IUMD,Y16_24,PC_IND,SE	92 	90 	91 	91 	86 b	94 	94 	98 
I_IUMD,Y16_24,PC_IND,SI	74 	80 	82 	95 	88 	96 	97 	97 
I_IUMD,Y16_24,PC_IND,SK	69 	79 	83 	90 	90 	91 	92 	96 
I_IUMD,Y16_24,PC_IND,TR	27 	39 	56 	64 	78 	85 	84 	90 
I_IUMD,Y16_24,PC_IND,UK	89 	94 	94 	97 	97 	98 	95 	100 
I_IUMD,Y16_24,PC_IND,XK	: 	: 	: 	: 	: 	90 	93 	95 
I_IUMD,Y25_54,PC_IND,AL	: 	: 	: 	: 	: 	: 	59 	: 
I_IUMD,Y25_54,PC_IND,AT	50 	58 	65 	74 	75 	85 	84 	91 
I_IUMD,Y25_54,PC_IND,BA	: 	: 	: 	: 	: 	: 	78 	69 
I_IUMD,Y25_54,PC_IND,BE	49 	51 	66 	77 	79 	84 	85 	93 
I_IUMD,Y25_54,PC_IND,BG	16 	24 	34 	48 	57 	71 	72 	80 
I_IUMD,Y25_54,PC_IND,CH	: 	: 	69 	: 	: 	76 b	: 	93 
I_IUMD,Y25_54,PC_IND,CY	26 	31 	48 	66 	72 	80 	85 	89 
I_IUMD,Y25_54,PC_IND,CZ	: u	33 	44 	54 	: u	73 	82 	86 
I_IUMD,Y25_54,PC_IND,DE	36 	50 	65 	74 	79 	86 	90 	88 
I_IUMD,Y25_54,PC_IND,DK	70 	76 	84 	87 	90 	91 	93 	96 
I_IUMD,Y25_54,PC_IND,EA	38 	47 	59 	64 	68 	75 	79 	83 
I_IUMD,Y25_54,PC_IND,EE	44 	54 	68 b	74 	76 	82 	85 	92 
I_IUMD,Y25_54,PC_IND,EL	26 	30 	44 	54 	57 	65 	67 	76 
I_IUMD,Y25_54,PC_IND,ES	43 	58 	73 	78 	84 	89 	91 	94 
I_IUMD,Y25_54,PC_IND,EU27_2007	40 	48 	59 	65 	68 	75 	79 	: 
I_IUMD,Y25_54,PC_IND,EU27_2020	36 	45 	56 	62 	65 	72 	77 	82 
I_IUMD,Y25_54,PC_IND,EU28	40 	48 	59 	65 	68 	75 	79 	84 
I_IUMD,Y25_54,PC_IND,FI	69 	74 	82 	85 	90 	91 	90 	: 
I_IUMD,Y25_54,PC_IND,FR	47 	56 	67 	69 	70 b	79 	83 	90 
I_IUMD,Y25_54,PC_IND,HR	42 	46 	49 	62 	65 	68 	77 	86 
I_IUMD,Y25_54,PC_IND,HU	20 	34 	53 	65 	70 	76 	: u	85 
I_IUMD,Y25_54,PC_IND,IE	58 	65 	73 	79 	78 	84 	88 	92 
I_IUMD,Y25_54,PC_IND,IS	64 	67 	76 	: 	: 	92 	89 	95 
I_IUMD,Y25_54,PC_IND,IT	19 	20 	26 	27 	32 	35 	45 	56 
I_IUMD,Y25_54,PC_IND,LT	16 	25 	34 	43 	53 	67 	75 	83 
I_IUMD,Y25_54,PC_IND,LU	67 	70 	76 	80 	82 	86 	89 b	92 
I_IUMD,Y25_54,PC_IND,LV	28 	37 	42 	53 	59 b	70 	73 	82 
I_IUMD,Y25_54,PC_IND,ME	36 	: 	: 	: 	: 	83 	86 	86 
I_IUMD,Y25_54,PC_IND,MK	17 	28 	43 	58 	63 	75 	63 	84 
I_IUMD,Y25_54,PC_IND,MT	45 	49 	59 	75 	78 	87 	85 	88 
I_IUMD,Y25_54,PC_IND,NL	61 	73 	78 	83 	86 	92 	92 	94 
I_IUMD,Y25_54,PC_IND,NO	84 	86 	89 	91 	87 	92 	94 	98 
I_IUMD,Y25_54,PC_IND,PL	25 	37 	43 	52 	36 	46 	58 	70 
I_IUMD,Y25_54,PC_IND,PT	22 	25 	42 	54 	61 	69 	74 	77 
I_IUMD,Y25_54,PC_IND,RO	8 	17 	29 b	44 	54 	64 	69 	80 
I_IUMD,Y25_54,PC_IND,RS	: 	: 	: 	44 	: 	68 	73 	77 
I_IUMD,Y25_54,PC_IND,SE	80 	82 	85 	86 	85 b	93 	92 	97 
I_IUMD,Y25_54,PC_IND,SI	33 	46 	51 	63 	69 	78 	81 	89 
I_IUMD,Y25_54,PC_IND,SK	42 	46 	59 	64 	69 	77 	75 	83 
I_IUMD,Y25_54,PC_IND,TR	13 	21 	33 	43 	58 	69 	71 	81 
I_IUMD,Y25_54,PC_IND,UK	71 	75 	82 	88 	90 	92 	92 	94 
I_IUMD,Y25_54,PC_IND,XK	: 	: 	: 	: 	: 	77 	80 	82 
I_IUMD,Y55_74,PC_IND,AL	: 	: 	: 	: 	: 	: 	25 	: 
I_IUMD,Y55_74,PC_IND,AT	16 	19 	24 	28 	31 	42 	45 	58 
I_IUMD,Y55_74,PC_IND,BA	: 	: 	: 	: 	: 	: 	29 	33 
I_IUMD,Y55_74,PC_IND,BE	21 	24 	34 	42 	45 	52 	53 	69 
I_IUMD,Y55_74,PC_IND,BG	3 	4 	5 	10 	13 	21 	23 	32 
I_IUMD,Y55_74,PC_IND,CH	: 	: 	29 	: 	: 	50 b	: 	76 
I_IUMD,Y55_74,PC_IND,CY	4 	4 	8 	20 	21 	33 	40 	51 
I_IUMD,Y55_74,PC_IND,CZ	: u	6 	11 	13 	: u	24 	29 	40 
I_IUMD,Y55_74,PC_IND,DE	11 	18 	26 	33 	38 	49 	55 	51 
I_IUMD,Y55_74,PC_IND,DK	34 	38 	51 	55 	62 	64 	76 	82 
I_IUMD,Y55_74,PC_IND,EA	12 	17 	23 	28 	31 	39 	44 	52 
I_IUMD,Y55_74,PC_IND,EE	10 	20 	23 b	24 	24 	31 	35 	46 
I_IUMD,Y55_74,PC_IND,EL	3 	5 	10 	11 	12 	18 	22 	31 
I_IUMD,Y55_74,PC_IND,ES	10 	16 	26 	32 	39 	49 	55 	69 
I_IUMD,Y55_74,PC_IND,EU27_2007	14 	18 	24 	29 	32 	39 	44 	: 
I_IUMD,Y55_74,PC_IND,EU27_2020	11 	15 	21 	26 	28 	36 	41 	49 
I_IUMD,Y55_74,PC_IND,EU28	14 	18 	24 	29 	32 	39 	43 	52 
I_IUMD,Y55_74,PC_IND,FI	26 	32 	40 	45 	47 	55 	56 	: 
I_IUMD,Y55_74,PC_IND,FR	19 	27 	31 	34 	33 b	41 	50 	61 
I_IUMD,Y55_74,PC_IND,HR	7 	10 	10 	15 	16 	19 	29 	42 
I_IUMD,Y55_74,PC_IND,HU	6 	9 	14 	18 	25 	27 	: u	41 
I_IUMD,Y55_74,PC_IND,IE	22 	27 	30 	35 	36 	49 	37 	62 
I_IUMD,Y55_74,PC_IND,IS	29 	34 	39 	: 	: 	61 	66 	69 
I_IUMD,Y55_74,PC_IND,IT	5 	4 	6 	7 	8 	11 	18 	28 
I_IUMD,Y55_74,PC_IND,LT	1 	2 	5 	7 	10 	18 	27 	39 
I_IUMD,Y55_74,PC_IND,LU	40 	48 	48 	59 	63 	68 	67 b	68 
I_IUMD,Y55_74,PC_IND,LV	5 	8 	8 	12 	14 b	22 	23 	32 
I_IUMD,Y55_74,PC_IND,ME	10 	: 	: 	: 	: 	33 	30 	42 
I_IUMD,Y55_74,PC_IND,MK	4 	5 	7 	17 	22 	28 	59 	39 
I_IUMD,Y55_74,PC_IND,MT	11 	14 	21 	29 	27 	35 	31 	45 
I_IUMD,Y55_74,PC_IND,NL	25 	36 	47 	55 	60 	72 	71 	77 
I_IUMD,Y55_74,PC_IND,NO	48 	54 	50 	60 	62 	71 	74 	82 
I_IUMD,Y55_74,PC_IND,PL	5 	8 	10 	16 	7 	11 	17 	26 
I_IUMD,Y55_74,PC_IND,PT	4 	4 	9 	14 	17 	24 	25 	30 
I_IUMD,Y55_74,PC_IND,RO	1 	4 	5 b	11 	13 	20 	25 	40 
I_IUMD,Y55_74,PC_IND,RS	: 	: 	: 	7 	: 	18 	23 	29 
I_IUMD,Y55_74,PC_IND,SE	41 	41 	54 	55 	67 b	72 	78 	85 
I_IUMD,Y55_74,PC_IND,SI	5 	10 	11 	12 	16 	27 	33 	48 
I_IUMD,Y55_74,PC_IND,SK	8 	10 	14 	15 	20 	28 	22 	36 
I_IUMD,Y55_74,PC_IND,TR	1 	2 	5 	7 	13 	19 	26 	32 
